SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PONTE VILA FORMOSA (18K/01H),,
,Caudal médio diário (m3/s),FLAG,
03/03/1981 00:00,0.07,(vco),
04/03/1981 00:00,0.07,(vco),
05/03/1981 00:00,0.07,(vco),
06/03/1981 00:00,0.06,(vco),
07/03/1981 00:00,0.05,(vco),
08/03/1981 00:00,0.05,(vco),
09/03/1981 00:00,0.05,(vco),
10/03/1981 00:00,0.05,(vco),
11/03/1981 00:00,0.05,(vco),
12/03/1981 00:00,0.05,(vco),
13/03/1981 00:00,0.05,(vco),
14/03/1981 00:00,0.04,(vco),
15/03/1981 00:00,0.04,(vco),
16/03/1981 00:00,0.04,(vco),
17/03/1981 00:00,0.04,(vco),
18/03/1981 00:00,0.04,(vco),
19/03/1981 00:00,0.04,(vco),
20/03/1981 00:00,0.04,(vco),
21/03/1981 00:00,0.05,(vco),
22/03/1981 00:00,0.05,(vco),
23/03/1981 00:00,0.05,(vco),
24/03/1981 00:00,0.05,(vco),
25/03/1981 00:00,0.05,(vco),
26/03/1981 00:00,0.05,(vco),
27/03/1981 00:00,0.05,(vco),
28/03/1981 00:00,0.05,(vco),
29/03/1981 00:00,0.19,(vco),
30/03/1981 00:00,0.49,(vco),
31/03/1981 00:00,0.82,(vco),
01/04/1981 00:00,0.64,(vco),
02/04/1981 00:00,0.5,(vco),
03/04/1981 00:00,1.1,(vco),
04/04/1981 00:00,1.31,(vco),
05/04/1981 00:00,0.98,(vco),
06/04/1981 00:00,0.81,(vco),
07/04/1981 00:00,0.68,(vco),
08/04/1981 00:00,0.56,(vco),
09/04/1981 00:00,0.49,(vco),
10/04/1981 00:00,0.47,(vco),
11/04/1981 00:00,0.5,(vco),
12/04/1981 00:00,0.77,(vco),
13/04/1981 00:00,0.81,(vco),
14/04/1981 00:00,1,(vco),
15/04/1981 00:00,1.01,(vco),
16/04/1981 00:00,0.79,(vco),
17/04/1981 00:00,0.64,(vco),
18/04/1981 00:00,0.56,(vco),
19/04/1981 00:00,0.5,(vco),
20/04/1981 00:00,0.44,(vco),
21/04/1981 00:00,0.37,(vco),
22/04/1981 00:00,0.31,(vco),
23/04/1981 00:00,0.28,(vco),
24/04/1981 00:00,0.27,(vco),
25/04/1981 00:00,0.26,(vco),
26/04/1981 00:00,0.25,(vco),
27/04/1981 00:00,0.23,(vco),
28/04/1981 00:00,0.22,(vco),
29/04/1981 00:00,0.21,(vco),
30/04/1981 00:00,0.21,(vco),
01/05/1981 00:00,0.21,(vco),
02/05/1981 00:00,0.21,(vco),
03/05/1981 00:00,0.21,(vco),
04/05/1981 00:00,0.21,(vco),
05/05/1981 00:00,0.21,(vco),
06/05/1981 00:00,0.2,(vco),
07/05/1981 00:00,0.19,(vco),
08/05/1981 00:00,0.19,(vco),
09/05/1981 00:00,0.12,(vco),
10/05/1981 00:00,0.07,(vco),
11/05/1981 00:00,0.1,(vco),
12/05/1981 00:00,0.2,(vco),
13/05/1981 00:00,0.19,(vco),
14/05/1981 00:00,0.12,(vco),
15/05/1981 00:00,0.07,(vco),
16/05/1981 00:00,0.13,(vco),
17/05/1981 00:00,0.21,(vco),
18/05/1981 00:00,0.21,(vco),
19/05/1981 00:00,0.21,(vco),
20/05/1981 00:00,0.21,(vco),
21/05/1981 00:00,0.2,(vco),
22/05/1981 00:00,0.19,(vco),
23/05/1981 00:00,0.16,(vco),
24/05/1981 00:00,0.12,(vco),
25/05/1981 00:00,0.11,(vco),
26/05/1981 00:00,0.1,(vco),
27/05/1981 00:00,0.09,(vco),
28/05/1981 00:00,0.09,(vco),
29/05/1981 00:00,0.09,(vco),
30/05/1981 00:00,0.11,(vco),
31/05/1981 00:00,0.13,(vco),
01/06/1981 00:00,0.12,(vco),
02/06/1981 00:00,0.11,(vco),
03/06/1981 00:00,0.11,(vco),
04/06/1981 00:00,0.11,(vco),
05/06/1981 00:00,0.11,(vco),
06/06/1981 00:00,0.12,(vco),
07/06/1981 00:00,0.13,(vco),
08/06/1981 00:00,0.13,(vco),
09/06/1981 00:00,0.13,(vco),
10/06/1981 00:00,0.13,(vco),
11/06/1981 00:00,0.13,(vco),
12/06/1981 00:00,0.12,(vco),
13/06/1981 00:00,0.12,(vco),
14/06/1981 00:00,0.13,(vco),
15/06/1981 00:00,0.13,(vco),
16/06/1981 00:00,0.13,(vco),
17/06/1981 00:00,0.13,(vco),
18/06/1981 00:00,0.13,(vco),
19/06/1981 00:00,0.13,(vco),
20/06/1981 00:00,0.09,(vco),
21/06/1981 00:00,0,(vco),
22/06/1981 00:00,0,(vco),
23/06/1981 00:00,0,(vco),
24/06/1981 00:00,0,(vco),
25/06/1981 00:00,0,(vco),
26/06/1981 00:00,0,(vco),
27/06/1981 00:00,0,(vco),
28/06/1981 00:00,0,(vco),
29/06/1981 00:00,0,(vco),
30/06/1981 00:00,0,(vco),
01/07/1981 00:00,0,(vco),
02/07/1981 00:00,0,(vco),
03/07/1981 00:00,0,(vco),
04/07/1981 00:00,0,(vco),
05/07/1981 00:00,0,(vco),
06/07/1981 00:00,0,(vco),
